,Time,WL [El.m],Change [+/-]
0,2016-09-01 00:00,10.96,-
1,2016-09-01 00:10,10.96,-
2,2016-09-01 00:20,10.94,-
3,2016-09-01 00:30,0.00,-
4,2016-09-01 00:40,10.93,-
5,2016-09-01 00:50,10.93,-
6,2016-09-01 01:00,10.93,-
7,2016-09-01 01:10,0.00,-
8,2016-09-01 01:20,10.91,-
9,2016-09-01 01:30,10.90,-
10,2016-09-01 01:40,10.90,-
11,2016-09-01 01:50,10.91,-
12,2016-09-01 02:00,10.91,-
13,2016-09-01 02:10,0.00,-
14,2016-09-01 02:20,10.90,-
15,2016-09-01 02:30,10.92,-
16,2016-09-01 02:40,10.92,-
17,2016-09-01 02:50,10.93,-
18,2016-09-01 03:00,10.94,-
19,2016-09-01 03:10,10.96,-
20,2016-09-01 03:20,10.96,-
21,2016-09-01 03:30,10.96,-
22,2016-09-01 03:40,10.98,-
23,2016-09-01 03:50,11.00,-
24,2016-09-01 04:00,11.02,-
25,2016-09-01 04:10,11.03,-
26,2016-09-01 04:20,0.00,-
27,2016-09-01 04:30,11.07,-
28,2016-09-01 04:40,11.09,-
29,2016-09-01 04:50,11.10,-
30,2016-09-01 05:00,11.13,-
31,2016-09-01 05:10,11.15,-
32,2016-09-01 05:20,0.00,-
33,2016-09-01 05:30,0.00,-
34,2016-09-01 05:40,0.00,-
35,2016-09-01 05:50,0.00,-
36,2016-09-01 06:00,11.28,-
37,2016-09-01 06:10,11.29,-
38,2016-09-01 06:20,11.32,-
39,2016-09-01 06:30,11.33,-
40,2016-09-01 06:40,0.00,-
41,2016-09-01 06:50,11.38,-
42,2016-09-01 07:00,11.42,-
43,2016-09-01 07:10,11.43,-
44,2016-09-01 07:20,11.44,-
45,2016-09-01 07:30,11.47,-
46,2016-09-01 07:40,11.49,-
47,2016-09-01 07:50,11.51,-
48,2016-09-01 08:00,11.52,-
49,2016-09-01 08:10,11.55,-
50,2016-09-01 08:20,11.56,-
51,2016-09-01 08:30,11.58,-
52,2016-09-01 08:40,11.59,-
53,2016-09-01 08:50,11.62,-
54,2016-09-01 09:00,11.62,-
55,2016-09-01 09:10,11.64,-
56,2016-09-01 09:20,11.64,-
57,2016-09-01 09:30,11.67,-
58,2016-09-01 09:40,11.67,-
59,2016-09-01 09:50,11.68,-
60,2016-09-01 10:00,0.00,-
61,2016-09-01 10:10,11.68,-
62,2016-09-01 10:20,11.67,-
63,2016-09-01 10:30,11.68,-
64,2016-09-01 10:40,11.67,-
65,2016-09-01 10:50,11.66,-
66,2016-09-01 11:00,11.63,-
67,2016-09-01 11:10,11.63,-
68,2016-09-01 11:20,0.00,-
69,2016-09-01 11:30,11.56,-
70,2016-09-01 11:40,11.55,-
71,2016-09-01 11:50,11.51,-
72,2016-09-01 12:00,0.00,-
73,2016-09-01 12:10,11.45,-
74,2016-09-01 12:20,11.43,-
75,2016-09-01 12:30,11.37,-
76,2016-09-01 12:40,11.33,-
77,2016-09-01 12:50,11.30,-
78,2016-09-01 13:00,11.25,-
