,Time,WL [El.m],Change [+/-]
0,2015-10-01 00:00,-,-
1,2015-10-01 00:10,-,-
2,2015-10-01 00:20,-,-
3,2015-10-01 00:30,-,-
4,2015-10-01 00:40,-,-
5,2015-10-01 00:50,-,-
6,2015-10-01 01:00,-,-
7,2015-10-01 01:10,-,-
8,2015-10-01 01:20,-,-
9,2015-10-01 01:30,-,-
10,2015-10-01 01:40,-,-
11,2015-10-01 01:50,-,-
12,2015-10-01 02:00,-,-
13,2015-10-01 02:10,-,-
14,2015-10-01 02:20,-,-
15,2015-10-01 02:30,-,-
16,2015-10-01 02:40,-,-
17,2015-10-01 02:50,-,-
18,2015-10-01 03:00,-,-
19,2015-10-01 03:10,-,-
20,2015-10-01 03:20,-,-
21,2015-10-01 03:30,-,-
22,2015-10-01 03:40,-,-
23,2015-10-01 03:50,-,-
24,2015-10-01 04:00,-,-
25,2015-10-01 04:10,-,-
26,2015-10-01 04:20,-,-
27,2015-10-01 04:30,-,-
28,2015-10-01 04:40,-,-
29,2015-10-01 04:50,-,-
30,2015-10-01 05:00,-,-
31,2015-10-01 05:10,-,-
32,2015-10-01 05:20,-,-
33,2015-10-01 05:30,-,-
34,2015-10-01 05:40,-,-
35,2015-10-01 05:50,-,-
36,2015-10-01 06:00,-,-
37,2015-10-01 06:10,-,-
38,2015-10-01 06:20,-,-
39,2015-10-01 06:30,-,-
40,2015-10-01 06:40,-,-
41,2015-10-01 06:50,-,-
42,2015-10-01 07:00,-,-
43,2015-10-01 07:10,-,-
44,2015-10-01 07:20,-,-
45,2015-10-01 07:30,-,-
46,2015-10-01 07:40,-,-
47,2015-10-01 07:50,-,-
48,2015-10-01 08:00,-,-
49,2015-10-01 08:10,-,-
50,2015-10-01 08:20,-,-
51,2015-10-01 08:30,-,-
52,2015-10-01 08:40,-,-
53,2015-10-01 08:50,-,-
54,2015-10-01 09:00,-,-
55,2015-10-01 09:10,-,-
56,2015-10-01 09:20,-,-
57,2015-10-01 09:30,-,-
58,2015-10-01 09:40,-,-
59,2015-10-01 09:50,-,-
60,2015-10-01 10:00,-,-
61,2015-10-01 10:10,-,-
62,2015-10-01 10:20,-,-
63,2015-10-01 10:30,-,-
64,2015-10-01 10:40,-,-
65,2015-10-01 10:50,-,-
66,2015-10-01 11:00,-,-
67,2015-10-01 11:10,-,-
68,2015-10-01 11:20,-,-
69,2015-10-01 11:30,-,-
70,2015-10-01 11:40,-,-
71,2015-10-01 11:50,-,-
72,2015-10-01 12:00,-,-
73,2015-10-01 12:10,-,-
74,2015-10-01 12:20,-,-
75,2015-10-01 12:30,-,-
76,2015-10-01 12:40,-,-
77,2015-10-01 12:50,-,-
78,2015-10-01 13:00,-,-
79,2015-10-01 13:10,-,-
80,2015-10-01 13:20,-,-
81,2015-10-01 13:30,-,-
82,2015-10-01 13:40,-,-
83,2015-10-01 13:50,-,-
84,2015-10-01 14:00,-,-
85,2015-10-01 14:10,-,-
86,2015-10-01 14:20,-,-
87,2015-10-01 14:30,-,-
88,2015-10-01 14:40,-,-
89,2015-10-01 14:50,-,-
90,2015-10-01 15:00,-,-
91,2015-10-01 15:10,-,-
92,2015-10-01 15:20,-,-
93,2015-10-01 15:30,-,-
94,2015-10-01 15:40,-,-
95,2015-10-01 15:50,-,-
96,2015-10-01 16:00,-,-
97,2015-10-01 16:10,-,-
98,2015-10-01 16:20,-,-
99,2015-10-01 16:30,-,-
100,2015-10-01 16:40,-,-
101,2015-10-01 16:50,-,-
102,2015-10-01 17:00,-,-
103,2015-10-01 17:10,-,-
104,2015-10-01 17:20,-,-
105,2015-10-01 17:30,-,-
106,2015-10-01 17:40,-,-
107,2015-10-01 17:50,-,-
108,2015-10-01 18:00,-,-
109,2015-10-01 18:10,-,-
110,2015-10-01 18:20,-,-
111,2015-10-01 18:30,-,-
112,2015-10-01 18:40,-,-
113,2015-10-01 18:50,-,-
114,2015-10-01 19:00,-,-
115,2015-10-01 19:10,-,-
116,2015-10-01 19:20,-,-
117,2015-10-01 19:30,-,-
118,2015-10-01 19:40,-,-
119,2015-10-01 19:50,-,-
120,2015-10-01 20:00,-,-
121,2015-10-01 20:10,-,-
122,2015-10-01 20:20,-,-
123,2015-10-01 20:30,-,-
124,2015-10-01 20:40,-,-
125,2015-10-01 20:50,-,-
126,2015-10-01 21:00,-,-
127,2015-10-01 21:10,-,-
128,2015-10-01 21:20,-,-
129,2015-10-01 21:30,-,-
130,2015-10-01 21:40,-,-
131,2015-10-01 21:50,-,-
132,2015-10-01 22:00,-,-
133,2015-10-01 22:10,-,-
134,2015-10-01 22:20,-,-
135,2015-10-01 22:30,-,-
136,2015-10-01 22:40,-,-
137,2015-10-01 22:50,-,-
138,2015-10-01 23:00,-,-
139,2015-10-01 23:10,-,-
140,2015-10-01 23:20,-,-
141,2015-10-01 23:30,-,-
142,2015-10-01 23:40,-,-
143,2015-10-01 23:50,-,-
144,2015-10-02 00:00,-,-
145,2015-10-02 00:10,-,-
146,2015-10-02 00:20,-,-
147,2015-10-02 00:30,-,-
148,2015-10-02 00:40,-,-
149,2015-10-02 00:50,-,-
150,2015-10-02 01:00,-,-
151,2015-10-02 01:10,-,-
152,2015-10-02 01:20,-,-
153,2015-10-02 01:30,-,-
154,2015-10-02 01:40,-,-
155,2015-10-02 01:50,-,-
156,2015-10-02 02:00,-,-
157,2015-10-02 02:10,-,-
158,2015-10-02 02:20,-,-
159,2015-10-02 02:30,-,-
160,2015-10-02 02:40,-,-
161,2015-10-02 02:50,-,-
162,2015-10-02 03:00,-,-
163,2015-10-02 03:10,-,-
164,2015-10-02 03:20,-,-
165,2015-10-02 03:30,-,-
166,2015-10-02 03:40,-,-
167,2015-10-02 03:50,-,-
168,2015-10-02 04:00,-,-
169,2015-10-02 04:10,-,-
170,2015-10-02 04:20,-,-
171,2015-10-02 04:30,-,-
172,2015-10-02 04:40,-,-
173,2015-10-02 04:50,-,-
174,2015-10-02 05:00,-,-
175,2015-10-02 05:10,-,-
176,2015-10-02 05:20,-,-
177,2015-10-02 05:30,-,-
178,2015-10-02 05:40,-,-
179,2015-10-02 05:50,-,-
180,2015-10-02 06:00,-,-
181,2015-10-02 06:10,-,-
182,2015-10-02 06:20,-,-
183,2015-10-02 06:30,-,-
184,2015-10-02 06:40,-,-
185,2015-10-02 06:50,-,-
186,2015-10-02 07:00,-,-
187,2015-10-02 07:10,-,-
188,2015-10-02 07:20,-,-
189,2015-10-02 07:30,-,-
190,2015-10-02 07:40,-,-
191,2015-10-02 07:50,-,-
192,2015-10-02 08:00,-,-
193,2015-10-02 08:10,-,-
194,2015-10-02 08:20,-,-
195,2015-10-02 08:30,-,-
196,2015-10-02 08:40,-,-
197,2015-10-02 08:50,-,-
198,2015-10-02 09:00,-,-
199,2015-10-02 09:10,-,-
200,2015-10-02 09:20,-,-
201,2015-10-02 09:30,-,-
202,2015-10-02 09:40,-,-
203,2015-10-02 09:50,-,-
204,2015-10-02 10:00,-,-
205,2015-10-02 10:10,-,-
206,2015-10-02 10:20,-,-
207,2015-10-02 10:30,-,-
208,2015-10-02 10:40,-,-
209,2015-10-02 10:50,-,-
210,2015-10-02 11:00,-,-
211,2015-10-02 11:10,-,-
212,2015-10-02 11:20,-,-
213,2015-10-02 11:30,-,-
214,2015-10-02 11:40,-,-
215,2015-10-02 11:50,-,-
216,2015-10-02 12:00,-,-
217,2015-10-02 12:10,-,-
218,2015-10-02 12:20,-,-
219,2015-10-02 12:30,-,-
220,2015-10-02 12:40,-,-
221,2015-10-02 12:50,-,-
222,2015-10-02 13:00,-,-
223,2015-10-02 13:10,-,-
224,2015-10-02 13:20,-,-
225,2015-10-02 13:30,-,-
226,2015-10-02 13:40,-,-
227,2015-10-02 13:50,-,-
228,2015-10-02 14:00,-,-
229,2015-10-02 14:10,-,-
230,2015-10-02 14:20,-,-
231,2015-10-02 14:30,-,-
232,2015-10-02 14:40,-,-
233,2015-10-02 14:50,-,-
234,2015-10-02 15:00,-,-
235,2015-10-02 15:10,-,-
236,2015-10-02 15:20,-,-
237,2015-10-02 15:30,-,-
238,2015-10-02 15:40,-,-
239,2015-10-02 15:50,-,-
240,2015-10-02 16:00,-,-
241,2015-10-02 16:10,-,-
242,2015-10-02 16:20,-,-
243,2015-10-02 16:30,-,-
244,2015-10-02 16:40,-,-
245,2015-10-02 16:50,-,-
246,2015-10-02 17:00,-,-
247,2015-10-02 17:10,-,-
248,2015-10-02 17:20,-,-
249,2015-10-02 17:30,-,-
250,2015-10-02 17:40,-,-
251,2015-10-02 17:50,-,-
252,2015-10-02 18:00,-,-
253,2015-10-02 18:10,-,-
254,2015-10-02 18:20,-,-
255,2015-10-02 18:30,-,-
256,2015-10-02 18:40,-,-
257,2015-10-02 18:50,-,-
