,Time,WL [El.m],Change [+/-]
0,2017-10-01 00:00,0.00,-
1,2017-10-01 00:10,21.46,-
2,2017-10-01 00:20,0.00,-
3,2017-10-01 00:30,21.45,-
4,2017-10-01 00:40,21.45,-
5,2017-10-01 00:50,21.45,-
6,2017-10-01 01:00,21.45,-
7,2017-10-01 01:10,21.45,-
8,2017-10-01 01:20,21.45,-
9,2017-10-01 01:30,21.45,-
10,2017-10-01 01:40,21.45,-
11,2017-10-01 01:50,21.45,-
12,2017-10-01 02:00,0.00,-
13,2017-10-01 02:10,21.45,-
14,2017-10-01 02:20,0.00,-
15,2017-10-01 02:30,21.45,-
16,2017-10-01 02:40,0.00,-
17,2017-10-01 02:50,21.45,-
18,2017-10-01 03:00,21.45,-
19,2017-10-01 03:10,21.45,-
20,2017-10-01 03:20,21.45,-
21,2017-10-01 03:30,0.00,-
22,2017-10-01 03:40,0.00,-
23,2017-10-01 03:50,21.45,-
24,2017-10-01 04:00,21.45,-
25,2017-10-01 04:10,0.00,-
26,2017-10-01 04:20,0.00,-
27,2017-10-01 04:30,21.45,-
28,2017-10-01 04:40,21.45,-
29,2017-10-01 04:50,21.44,-
30,2017-10-01 05:00,21.44,-
31,2017-10-01 05:10,0.00,-
32,2017-10-01 05:20,21.44,-
33,2017-10-01 05:30,0.00,-
34,2017-10-01 05:40,21.44,-
35,2017-10-01 05:50,0.00,-
36,2017-10-01 06:00,0.00,-
37,2017-10-01 06:10,21.44,-
38,2017-10-01 06:20,21.44,-
39,2017-10-01 06:30,21.44,-
40,2017-10-01 06:40,0.00,-
41,2017-10-01 06:50,21.44,-
42,2017-10-01 07:00,0.00,-
43,2017-10-01 07:10,0.00,-
44,2017-10-01 07:20,0.00,-
45,2017-10-01 07:30,0.00,-
46,2017-10-01 07:40,21.44,-
47,2017-10-01 07:50,0.00,-
48,2017-10-01 08:00,21.44,-
49,2017-10-01 08:10,21.44,-
50,2017-10-01 08:20,21.44,-
51,2017-10-01 08:30,21.44,-
52,2017-10-01 08:40,21.44,-
53,2017-10-01 08:50,21.44,-
54,2017-10-01 09:00,0.00,-
55,2017-10-01 09:10,21.44,-
56,2017-10-01 09:20,0.00,-
57,2017-10-01 09:30,0.00,-
58,2017-10-01 09:40,21.43,-
59,2017-10-01 09:50,0.00,-
60,2017-10-01 10:00,21.43,-
61,2017-10-01 10:10,21.43,-
62,2017-10-01 10:20,21.43,-
63,2017-10-01 10:30,21.43,-
64,2017-10-01 10:40,21.43,-
65,2017-10-01 10:50,21.43,-
66,2017-10-01 11:00,0.00,-
67,2017-10-01 11:10,21.43,-
68,2017-10-01 11:20,0.00,-
69,2017-10-01 11:30,21.43,-
70,2017-10-01 11:40,21.43,-
71,2017-10-01 11:50,0.00,-
72,2017-10-01 12:00,21.43,-
73,2017-10-01 12:10,21.43,-
74,2017-10-01 12:20,21.43,-
75,2017-10-01 12:30,0.00,-
76,2017-10-01 12:40,21.43,-
77,2017-10-01 12:50,21.43,-
78,2017-10-01 13:00,21.43,-
79,2017-10-01 13:10,0.00,-
80,2017-10-01 13:20,0.00,-
81,2017-10-01 13:30,0.00,-
82,2017-10-01 13:40,21.43,-
83,2017-10-01 13:50,0.00,-
84,2017-10-01 14:00,21.43,-
85,2017-10-01 14:10,0.00,-
86,2017-10-01 14:20,21.42,-
87,2017-10-01 14:30,21.42,-
88,2017-10-01 14:40,21.42,-
89,2017-10-01 14:50,0.00,-
90,2017-10-01 15:00,21.42,-
91,2017-10-01 15:10,0.00,-
92,2017-10-01 15:20,0.00,-
93,2017-10-01 15:30,21.42,-
94,2017-10-01 15:40,0.00,-
95,2017-10-01 15:50,21.42,-
96,2017-10-01 16:00,0.00,-
97,2017-10-01 16:10,0.00,-
98,2017-10-01 16:20,0.00,-
99,2017-10-01 16:30,0.00,-
100,2017-10-01 16:40,0.00,-
101,2017-10-01 16:50,0.00,-
102,2017-10-01 17:00,21.42,-
103,2017-10-01 17:10,0.00,-
104,2017-10-01 17:20,0.00,-
105,2017-10-01 17:30,0.00,-
106,2017-10-01 17:40,0.00,-
107,2017-10-01 17:50,0.00,-
108,2017-10-01 18:00,0.00,-
109,2017-10-01 18:10,0.00,-
110,2017-10-01 18:20,0.00,-
111,2017-10-01 18:30,0.00,-
112,2017-10-01 18:40,0.00,-
113,2017-10-01 18:50,0.00,-
114,2017-10-01 19:00,21.41,-
115,2017-10-01 19:10,0.00,-
116,2017-10-01 19:20,0.00,-
117,2017-10-01 19:30,0.00,-
118,2017-10-01 19:40,0.00,-
119,2017-10-01 19:50,0.00,-
120,2017-10-01 20:00,0.00,-
121,2017-10-01 20:10,0.00,-
122,2017-10-01 20:20,0.00,-
123,2017-10-01 20:30,0.00,-
124,2017-10-01 20:40,0.00,-
125,2017-10-01 20:50,0.00,-
126,2017-10-01 21:00,21.41,-
127,2017-10-01 21:10,0.00,-
128,2017-10-01 21:20,0.00,-
129,2017-10-01 21:30,0.00,-
130,2017-10-01 21:40,0.00,-
131,2017-10-01 21:50,0.00,-
132,2017-10-01 22:00,21.41,-
133,2017-10-01 22:10,0.00,-
134,2017-10-01 22:20,0.00,-
135,2017-10-01 22:30,0.00,-
136,2017-10-01 22:40,0.00,-
137,2017-10-01 22:50,0.00,-
138,2017-10-01 23:00,21.41,-
139,2017-10-01 23:10,0.00,-
140,2017-10-01 23:20,0.00,-
141,2017-10-01 23:30,0.00,-
142,2017-10-01 23:40,0.00,-
143,2017-10-01 23:50,0.00,-
144,2017-10-02 00:00,21.40,-
145,2017-10-02 00:10,0.00,-
146,2017-10-02 00:20,0.00,-
147,2017-10-02 00:30,0.00,-
148,2017-10-02 00:40,0.00,-
149,2017-10-02 00:50,0.00,-
150,2017-10-02 01:00,21.40,-
151,2017-10-02 01:10,0.00,-
152,2017-10-02 01:20,0.00,-
153,2017-10-02 01:30,0.00,-
154,2017-10-02 01:40,0.00,-
155,2017-10-02 01:50,0.00,-
156,2017-10-02 02:00,0.00,-
157,2017-10-02 02:10,0.00,-
158,2017-10-02 02:20,0.00,-
159,2017-10-02 02:30,0.00,-
160,2017-10-02 02:40,0.00,-
161,2017-10-02 02:50,0.00,-
162,2017-10-02 03:00,0.00,-
163,2017-10-02 03:10,0.00,-
164,2017-10-02 03:20,0.00,-
165,2017-10-02 03:30,0.00,-
166,2017-10-02 03:40,0.00,-
167,2017-10-02 03:50,0.00,-
168,2017-10-02 04:00,0.00,-
169,2017-10-02 04:10,0.00,-
170,2017-10-02 04:20,0.00,-
171,2017-10-02 04:30,21.39,-
172,2017-10-02 04:40,21.39,-
173,2017-10-02 04:50,21.39,-
174,2017-10-02 05:00,21.39,-
175,2017-10-02 05:10,21.39,-
176,2017-10-02 05:20,21.39,-
177,2017-10-02 05:30,21.39,-
178,2017-10-02 05:40,21.39,-
179,2017-10-02 05:50,21.39,-
180,2017-10-02 06:00,0.00,-
181,2017-10-02 06:10,21.39,-
182,2017-10-02 06:20,0.00,-
183,2017-10-02 06:30,0.00,-
184,2017-10-02 06:40,0.00,-
185,2017-10-02 06:50,21.39,-
186,2017-10-02 07:00,21.39,-
187,2017-10-02 07:10,21.39,-
188,2017-10-02 07:20,21.39,-
189,2017-10-02 07:30,21.39,-
190,2017-10-02 07:40,21.39,-
191,2017-10-02 07:50,21.39,-
192,2017-10-02 08:00,21.39,-
193,2017-10-02 08:10,21.39,-
194,2017-10-02 08:20,0.00,-
195,2017-10-02 08:30,21.38,-
196,2017-10-02 08:40,0.00,-
197,2017-10-02 08:50,0.00,-
198,2017-10-02 09:00,0.00,-
199,2017-10-02 09:10,21.38,-
200,2017-10-02 09:20,21.38,-
201,2017-10-02 09:30,21.38,-
202,2017-10-02 09:40,0.00,-
203,2017-10-02 09:50,0.00,-
204,2017-10-02 10:00,21.38,-
205,2017-10-02 10:10,0.00,-
206,2017-10-02 10:20,0.00,-
207,2017-10-02 10:30,0.00,-
208,2017-10-02 10:40,0.00,-
209,2017-10-02 10:50,0.00,-
210,2017-10-02 11:00,21.38,-
211,2017-10-02 11:10,0.00,-
212,2017-10-02 11:20,0.00,-
213,2017-10-02 11:30,0.00,-
214,2017-10-02 11:40,0.00,-
215,2017-10-02 11:50,0.00,-
216,2017-10-02 12:00,21.38,-
217,2017-10-02 12:10,0.00,-
218,2017-10-02 12:20,0.00,-
219,2017-10-02 12:30,0.00,-
220,2017-10-02 12:40,0.00,-
221,2017-10-02 12:50,0.00,-
222,2017-10-02 13:00,21.38,-
223,2017-10-02 13:10,0.00,-
224,2017-10-02 13:20,0.00,-
225,2017-10-02 13:30,0.00,-
226,2017-10-02 13:40,0.00,-
227,2017-10-02 13:50,0.00,-
228,2017-10-02 14:00,-,-
229,2017-10-02 14:10,-,-
230,2017-10-02 14:20,-,-
231,2017-10-02 14:30,-,-
232,2017-10-02 14:40,-,-
233,2017-10-02 14:50,-,-
234,2017-10-02 15:00,21.37,-
235,2017-10-02 15:10,-,-
236,2017-10-02 15:20,-,-
237,2017-10-02 15:30,-,-
238,2017-10-02 15:40,-,-
239,2017-10-02 15:50,-,-
240,2017-10-02 16:00,21.37,-
241,2017-10-02 16:10,-,-
242,2017-10-02 16:20,-,-
243,2017-10-02 16:30,-,-
244,2017-10-02 16:40,-,-
245,2017-10-02 16:50,-,-
246,2017-10-02 17:00,21.37,-
247,2017-10-02 17:10,-,-
248,2017-10-02 17:20,-,-
249,2017-10-02 17:30,-,-
250,2017-10-02 17:40,-,-
251,2017-10-02 17:50,-,-
252,2017-10-02 18:00,21.36,-
253,2017-10-02 18:10,-,-
254,2017-10-02 18:20,-,-
255,2017-10-02 18:30,-,-
256,2017-10-02 18:40,-,-
257,2017-10-02 18:50,-,-
258,2017-10-02 19:00,21.36,-
259,2017-10-02 19:10,-,-
260,2017-10-02 19:20,-,-
261,2017-10-02 19:30,-,-
262,2017-10-02 19:40,-,-
263,2017-10-02 19:50,-,-
264,2017-10-02 20:00,21.36,-
265,2017-10-02 20:10,-,-
266,2017-10-02 20:20,-,-
267,2017-10-02 20:30,-,-
268,2017-10-02 20:40,-,-
269,2017-10-02 20:50,-,-
270,2017-10-02 21:00,21.35,-
271,2017-10-02 21:10,-,-
272,2017-10-02 21:20,-,-
273,2017-10-02 21:30,-,-
