Date,T(C),Td(C),Tmax(C),Tmin(C),ddd,ffkmh,P seahPa,PTnd,Prec(mm),Nt,Nh,HKm,Viskm,WW,W1,W2
1/1/2016 0:00,24.6,23.2,-----,23,ESE,7.2,1017.7,2,3.0/24h,8,4,0.6,10,,,
1/1/2016 3:00,27.5,22.8,-----,-----,NNE,7.2,1017.4,-0.3,0.5/3h,8,4,0.6,12,,,
1/1/2016 6:00,28.2,24.1,-----,-----,NNW,10.8,1014.7,-2.7,1.0/6h,7,3,0.6,12,,,
1/1/2016 9:00,29,23.8,-----,-----,N,10.8,1014.8,0.1,0.0/3h,7,3,0.6,12,,,
1/1/2016 12:00,25.9,23.7,29.8,-----,NE,10.8,1016.8,2,0.0/6h,5,2,0.6,12,,,
1/1/2016 15:00,25.7,23.8,-----,-----,N,7.2,1017.6,0.8,0.0/3h,5,3,0.6,10,,,
1/1/2016 18:00,24.7,23.8,-----,-----,N,7.2,1015.7,-1.9,0.0/6h,6,3,0.6,10,,,
1/1/2016 21:00,24.1,23.6,-----,-----,N,3.6,1015.5,-0.2,0.0/3h,5,2,0.6,10,,,
1/2/2016 0:00,25.5,22.9,-----,23,ENE,3.6,1017.3,1.8,1.0/24h,4,2,0.6,12,,,
1/2/2016 3:00,28.1,24,-----,-----,WNW,7.2,1016.7,0.6,0.0/3h,5,2,0.6,12,,,
1/2/2016 6:00,29.8,24.2,-----,-----,WNW,14.4,1013.6,-3.1,0.6/6h,7,3,0.6,10,,,
1/2/2016 9:00,29.6,24,-----,-----,ENE,10.8,1014.7,1.1,0.6/3h,5,2,0.6,12,,,
1/2/2016 12:00,27.8,25.4,31,-----,CAL,0,1015.8,1.1,0.6/6h,5,2,0.6,12,,,
1/2/2016 15:00,26.4,24.3,-----,-----,NNE,7.2,1016.1,0.3,0.0/3h,6,1,0.6,12,,,
1/2/2016 18:00,25.6,24.5,-----,-----,CAL,0,1015.1,-1,0.0/6h,6,1,0.6,12,,,
1/2/2016 21:00,24.9,23.8,-----,-----,NE,3.6,1014.7,-0.4,0.0/3h,3,1,0.6,12,,,
1/3/2016 0:00,26.4,23.4,-----,24,ENE,3.6,1016.2,1.5,1.2/24h,1,1,0.6,12,,,
1/3/2016 3:00,30.2,20.5,-----,-----,ENE,14.4,1016.7,0.5,0.0/3h,5,2,0.6,12,,,
1/3/2016 6:00,32.3,18.9,-----,-----,ESE,10.8,1013.6,-3.1,0.0/6h,4,2,0.6,12,,,
1/3/2016 9:00,30.6,21.6,-----,-----,SE,10.8,1014.8,1.2,0.0/3h,3,1,0.6,12,,,
1/3/2016 12:00,28.3,20.3,33,-----,E,3.6,1016.5,1.7,0.0/6h,5,2,0.6,12,,,
1/3/2016 15:00,27,20.6,-----,-----,ESE,3.6,1016.7,0.2,0.0/3h,4,2,0.6,12,,,
1/3/2016 18:00,25.9,20.9,-----,-----,NNW,3.6,1015.8,-0.9,0.0/6h,3,2,0.6,12,,,
1/3/2016 21:00,25.2,21.2,-----,-----,NNW,3.6,1016.4,0.6,0.0/3h,4,2,0.6,12,,,
1/4/2016 0:00,25.7,20.8,-----,23.6,ENE,3.6,1017.8,1.4,0.0/24h,4,2,0.6,12,,,
1/4/2016 3:00,29.7,22.6,-----,-----,WSW,7.2,1017.7,-0.1,0.0/3h,6,3,0.6,12,,,
1/4/2016 6:00,31.8,22.7,-----,-----,SSE,18,1014.3,-3.4,0.0/6h,4,1,0.6,12,,,
1/4/2016 9:00,31.1,20.6,-----,-----,SE,14.4,1014.4,0.1,0.0/3h,2,2,0.6,12,,,
1/4/2016 12:00,28.8,21.5,33,-----,E,10.8,1016.3,1.9,0.0/6h,2,2,0.6,12,,,
1/4/2016 15:00,27.4,21.3,-----,-----,E,7.2,1016.8,0.5,0.0/3h,3,1,0.6,12,,,
1/4/2016 18:00,26.2,21.5,-----,-----,CAL,0,1015.6,-1.2,0.0/6h,5,1,0.6,10,,,
1/4/2016 21:00,25.6,23.2,-----,-----,SW,3.6,1015.2,-0.4,0.0/3h,4,1,0.6,10,,,
1/5/2016 0:00,25.2,22.6,-----,24,NE,3.6,1017.5,2.3,0.0/24h,6,2,0.6,12,,,
1/5/2016 3:00,28.5,23.3,-----,-----,W,14.4,1016.3,-1.2,0.0/3h,5,2,0.6,12,,,
1/5/2016 6:00,30.6,23,-----,-----,NNE,14.4,1012.9,-3.4,0.0/6h,3,1,0.6,12,,,
1/5/2016 9:00,30.2,20.8,-----,-----,NE,14.4,1012.4,-0.5,0.0/3h,1,1,0.6,12,,,
1/5/2016 12:00,27.8,20.2,32,-----,ESE,7.2,1015,2.6,0.0/6h,2,2,0.6,12,,,
1/5/2016 15:00,26.5,20.8,-----,-----,ESE,3.6,1016.2,1.2,0.0/3h,2,2,0.6,10,,,
1/5/2016 18:00,26,20.7,-----,-----,NNW,3.6,1015.5,-0.7,0.0/6h,4,1,0.6,10,,,
1/5/2016 21:00,24.3,20,-----,-----,NNE,7.2,1015.3,-0.2,0.0/3h,4,1,0.6,10,,,
1/6/2016 0:00,26,20.7,-----,23,NNE,7.2,1017,1.7,0.0/24h,2,2,0.6,12,,,
1/6/2016 3:00,27.8,22.1,-----,-----,NW,7.2,1016,-1,0.0/3h,6,2,0.6,12,,,
1/6/2016 6:00,28.5,23,-----,-----,WSW,7.2,1012.9,-3.1,0.0/6h,7,3,0.6,12,,,
1/6/2016 9:00,28.7,24.6,-----,-----,SSW,3.6,1012.9,0,0.0/3h,6,3,0.6,12,,,
1/6/2016 12:00,28.1,24.1,30.4,-----,E,7.2,1014.4,1.5,0.0/6h,7,2,0.6,12,,,
1/6/2016 15:00,27.2,22.6,-----,-----,N,10.8,1014.7,0.3,0.0/3h,6,1,0.6,12,,,
1/6/2016 18:00,26.3,22.6,-----,-----,NNW,3.6,1014.4,-0.3,0.0/6h,7,1,0.6,12,,,
1/6/2016 21:00,25.7,22,-----,-----,ENE,3.6,1014.5,0.1,0.0/3h,6,1,0.6,12,,,
1/7/2016 0:00,26.4,23.4,-----,25,E,3.6,1016,1.5,0.0/24h,7,2,0.6,12,,,
1/7/2016 3:00,29,22.3,-----,-----,W,10.8,1016.5,0.5,0.0/3h,7,3,0.6,12,,,
1/7/2016 6:00,28.9,21,-----,-----,WSW,7.2,1013.4,-3.1,0.0/6h,7,3,0.6,12,,,
1/7/2016 9:00,28.5,22.5,-----,-----,NNE,10.8,1013.9,0.5,0.0/3h,7,4,0.6,12,,,
1/7/2016 12:00,27.4,21,30.2,-----,ENE,3.6,1014.7,0.8,Tr/6h,6,2,0.6,12,,,
1/7/2016 15:00,26.6,21.2,-----,-----,SSE,3.6,1016.1,1.4,0.0/3h,7,3,0.6,12,,,
1/7/2016 18:00,26.3,21.9,-----,-----,NNE,7.2,1014.8,-1.3,0.0/6h,5,2,0.6,12,,,
1/7/2016 21:00,25,21.2,-----,-----,E,3.6,1014.1,-0.7,0.0/3h,4,2,0.6,12,,,
1/8/2016 0:00,26.1,21.8,-----,24,N,3.6,1016,1.9,Tr/24h,6,2,0.6,12,,,
1/8/2016 3:00,27.8,22.4,-----,-----,NW,10.8,1015.9,-0.1,0.0/3h,7,3,0.6,12,,,
1/8/2016 6:00,30.1,23,-----,-----,WSW,7.2,1013,-2.9,0.0/6h,7,4,0.6,12,,,
1/8/2016 9:00,29,22.2,-----,-----,N,3.6,1012.7,-0.3,0.0/3h,8,4,0.6,12,,,
1/8/2016 12:00,28.3,22.2,31.2,-----,CAL,0,1014.7,2,0.0/6h,7,3,0.6,12,,,
1/8/2016 15:00,26.4,23.3,-----,-----,NNE,14.4,1015.4,0.7,0.0/3h,6,3,0.6,10,,,
1/8/2016 18:00,25.1,24,-----,-----,NNE,14.4,1014.4,-1,0.0/6h,6,3,0.6,10,,,
1/8/2016 21:00,24.3,23.1,-----,-----,N,10.8,1014.9,0.5,0.0/3h,5,3,0.6,10,,,
1/9/2016 0:00,24.9,23.4,-----,23,NNE,7.2,1016.7,1.8,0.0/24h,5,2,0.6,12,,,
1/9/2016 3:00,26.7,23.2,-----,-----,WNW,10.8,1016.2,-0.5,0.0/3h,7,4,0.6,12,,,
1/9/2016 6:00,29.1,24,-----,-----,W,10.8,1013.4,-2.8,0.0/6h,6,4,0.6,12,,,
1/9/2016 9:00,28.9,24,-----,-----,WNW,7.2,1013.2,-0.2,0.0/3h,7,4,0.6,12,,,
1/9/2016 12:00,27.7,21.6,30.5,-----,ESE,10.8,1014.7,1.5,0.0/6h,5,2,0.6,10,,,
1/9/2016 15:00,27,21.6,-----,-----,E,7.2,1015.5,0.8,0.0/3h,4,2,0.6,10,,,
1/9/2016 18:00,26,22.2,-----,-----,CAL,0,1014.6,-0.9,0.0/6h,3,3,0.6,10,,,
1/9/2016 21:00,25.3,22.7,-----,-----,ENE,7.2,1014.7,0.1,0.0/3h,6,3,0.6,10,,,
1/10/2016 0:00,25.3,22.1,-----,23.5,N,3.6,1016.3,1.6,0.0/24h,5,1,0.6,12,,,
1/10/2016 3:00,28.2,22.2,-----,-----,WSW,10.8,1015.4,-0.9,0.0/3h,7,3,0.6,12,,,
1/10/2016 6:00,29.2,23.3,-----,-----,WSW,7.2,1012.5,-2.9,0.0/6h,7,4,0.6,12,,,
1/10/2016 9:00,30.1,22,-----,-----,ESE,14.4,1012.3,-0.2,0.0/3h,6,2,0.6,12,,,
1/10/2016 12:00,27.6,21.8,32,-----,ESE,7.2,1013.7,1.4,0.0/6h,3,1,0.6,12,,,
1/10/2016 15:00,26.7,21.9,-----,-----,ESE,7.2,1014.1,0.4,0.0/3h,3,1,0.6,12,,,
1/10/2016 18:00,25.8,21.5,-----,-----,E,3.6,1013,-1.1,0.0/6h,3,1,0.6,12,,,
1/10/2016 21:00,25,21.2,-----,-----,ENE,3.6,1012.5,-0.5,0.0/3h,4,1,0.6,12,,,
1/11/2016 0:00,25.4,22.7,-----,24.5,NE,3.6,1013.7,1.2,0.0/24h,3,1,0.6,12,,,
1/11/2016 3:00,28,21.2,-----,-----,WNW,10.8,1013.6,-0.1,0.0/3h,6,2,0.6,12,,,
1/11/2016 6:00,30,22.2,-----,-----,WNW,7.2,1011.3,-2.3,0.0/6h,6,2,0.6,12,,,
1/11/2016 9:00,30.3,23,-----,-----,NNW,10.8,1011.7,0.4,0.0/3h,6,3,0.6,12,,,
1/11/2016 12:00,29,23.4,31.5,-----,W,3.6,1013.4,1.7,0.0/6h,6,2,0.6,12,,,
1/11/2016 15:00,27.6,24.7,-----,-----,SSW,7.2,1014.3,0.9,0.0/3h,7,3,0.6,12,,,
1/11/2016 18:00,26.4,23,-----,-----,NNE,7.2,1013.5,-0.8,0.0/6h,7,3,0.6,12,,,
1/11/2016 21:00,25.9,22.5,-----,-----,NNE,7.2,1013,-0.5,0.0/3h,5,2,0.6,12,,,
1/12/2016 0:00,26.5,21.4,-----,25,N,7.2,1014.4,1.4,0.0/24h,6,2,0.6,12,,,
1/12/2016 3:00,29,22.9,-----,-----,WNW,14.4,1015.2,0.8,0.0/3h,7,4,0.6,12,,,
1/12/2016 6:00,30.7,24.1,-----,-----,WNW,10.8,1012.1,-3.1,0.0/6h,7,4,0.6,12,,,
1/12/2016 9:00,30,24.6,-----,-----,W,7.2,1012.1,0,0.0/3h,7,3,0.6,12,,,
1/12/2016 12:00,28.2,22.6,32,-----,E,10.8,1014,1.9,0.0/6h,6,3,0.6,10,,,
