Date,T(C),Td(C),Tmax(C),Tmin(C),ddd,ffkmh,P seahPa,PTnd,Prec(mm),Nt,Nh,HKm,Viskm,WW,W1,W2
1/12/2016 15:00,27.6,19,-----,-----,CAL,0,1014.3,0.3,0.0/3h,6,2,0.6,10,,,
1/12/2016 18:00,26.8,21,-----,-----,N,3.6,1013.4,-0.9,0.0/6h,5,2,0.6,10,,,
1/12/2016 21:00,26,22,-----,-----,CAL,0,1013.4,0,0.0/3h,4,2,0.6,10,,,
1/13/2016 0:00,26.8,22.2,-----,25,SW,3.6,1014.9,1.5,0.0/24h,5,2,0.6,12,,,
1/13/2016 3:00,29,22.2,-----,-----,W,10.8,1014.4,-0.5,0.0/3h,7,3,0.6,12,,,
1/13/2016 6:00,30.7,22.7,-----,-----,W,10.8,1011.5,-2.9,0.0/6h,7,4,0.6,12,,,
1/13/2016 9:00,29.9,23.9,-----,-----,W,7.2,1011.7,0.2,0.0/3h,5,2,0.6,12,,,
1/13/2016 12:00,28.4,24.7,32,-----,S,14.4,1013.2,1.5,0.0/6h,6,3,0.6,10,,,
1/13/2016 15:00,27.9,23.8,-----,-----,WNW,3.6,1013.7,0.5,0.0/3h,5,3,0.6,10,,,
1/13/2016 18:00,26,23.3,-----,-----,ENE,7.2,1012.8,-0.9,0.0/6h,6,3,0.6,10,,,
1/13/2016 21:00,25,22.7,-----,-----,N,3.6,1012.9,0.1,0.0/3h,6,3,0.6,10,,,
1/14/2016 0:00,26,22.2,-----,24,N,7.2,1014.8,1.9,0.0/24h,5,2,0.6,12,,,
1/14/2016 3:00,28.4,23.4,-----,-----,SW,10.8,1014.2,0.6,0.0/3h,7,2,0.6,12,,,
1/14/2016 6:00,29.9,23.6,-----,-----,WSW,10.8,1010.8,-3.4,0.0/6h,8,2,0.6,12,,,
1/14/2016 9:00,31.4,21.8,-----,-----,E,14.4,1010.9,0.1,0.0/3h,7,2,0.6,12,,,
1/14/2016 12:00,28.8,22,32.4,-----,ESE,10.8,1012.2,1.3,0.0/6h,4,1,0.6,12,,,
1/14/2016 15:00,27.8,22.1,-----,-----,ESE,7.2,1012.4,0.2,0.0/3h,4,1,0.6,12,,,
1/14/2016 18:00,27.1,22,-----,-----,ESE,7.2,1011.4,-1,0.0/6h,1,1,0.6,12,,,
1/14/2016 21:00,26.4,22.3,-----,-----,WNW,3.6,1011.1,-0.3,0.0/3h,3,1,0.6,12,,,
1/15/2016 0:00,26.5,23.1,-----,25,W,7.2,1012.5,1.4,0.0/24h,3,1,0.6,12,,,
1/15/2016 3:00,28,22.9,-----,-----,W,7.2,1011.8,0.7,0.0/3h,7,3,0.6,12,,,
1/15/2016 6:00,29.1,23.3,-----,-----,WSW,10.8,1009.4,-2.4,0.0/6h,7,3,0.6,12,,,
1/15/2016 9:00,29.8,22.2,-----,-----,SE,18,1010.1,0.7,0.0/3h,6,2,0.6,12,,,
1/15/2016 12:00,28.3,22.8,32.3,-----,SSE,7.2,1010.6,0.5,0.0/6h,5,1,0.6,12,,,
1/15/2016 15:00,27,23.4,-----,-----,E,7.2,1010.6,0,0.0/3h,4,1,0.6,12,,,
1/15/2016 18:00,26,22.2,-----,-----,E,3.6,1010.8,-0.2,0.0/6h,7,1,0.6,12,,,
1/15/2016 21:00,25.3,21.8,-----,-----,NNE,7.2,1010.8,0,0.0/3h,4,1,0.6,12,,,
1/16/2016 0:00,25.8,22,-----,24.5,NNW,7.2,1012.1,1.3,0.0/24h,6,1,0.6,12,,,
1/16/2016 3:00,29.2,22.6,-----,-----,WSW,10.8,1012.9,0.8,0.0/3h,6,2,0.6,12,,,
1/16/2016 6:00,30.6,23.5,-----,-----,WSW,10.8,1010.4,-2.5,0.0/6h,7,3,0.6,12,,,
1/16/2016 9:00,29.7,23.2,-----,-----,SE,14.4,1009.8,-0.6,0.0/3h,4,2,0.6,12,,,
1/16/2016 12:00,28.1,23,31.8,-----,ESE,7.2,1011.5,1.7,0.0/6h,5,2,0.6,12,,,
1/16/2016 15:00,27.3,21.7,-----,-----,ESE,10.8,1012,0.5,0.0/3h,6,3,0.6,10,,,
1/16/2016 18:00,26.7,22.5,-----,-----,SSE,7.2,1010.5,-1.5,0.0/6h,6,3,0.6,10,,,
1/16/2016 21:00,26.4,21.7,-----,-----,SSE,18,1010.3,-0.2,0.0/3h,5,2,0.6,10,,,
1/17/2016 0:00,26.6,21.9,-----,25.2,E,14.4,1012.4,2.1,0.0/24h,6,3,0.6,12,,,
1/17/2016 3:00,30.2,22,-----,-----,ESE,7.2,1012,-0.4,0.0/3h,4,2,0.6,12,,,
1/17/2016 6:00,30.8,22,-----,-----,S,18,1009.4,-2.6,0.0/6h,2,2,0.6,12,,,
1/17/2016 9:00,30.9,22.2,-----,-----,S,7.2,1009.2,-0.2,0.0/3h,3,1,0.6,12,,,
1/17/2016 12:00,28.1,24.8,32.5,-----,WSW,14.4,1011.1,1.9,0.0/6h,2,2,0.6,12,,,
1/17/2016 15:00,27.2,23.7,-----,-----,S,7.2,1011.7,0.6,0.0/3h,5,2,0.6,10,,,
1/17/2016 18:00,26.4,23.2,-----,-----,S,3.6,1010.6,-1.1,0.0/6h,6,3,0.6,10,,,
1/17/2016 21:00,26,24.1,-----,-----,NNE,10.8,1010.9,0.3,0.0/3h,6,3,0.6,10,,,
1/18/2016 0:00,26.4,24.1,-----,24.8,NE,10.8,1013.5,2.6,0.0/24h,6,2,0.6,12,,,
1/18/2016 3:00,28.3,22.8,-----,-----,NNW,10.8,1013.1,-0.4,----,4,3,0.6,12,,,
1/18/2016 6:00,30.8,22.2,-----,-----,NW,14.4,1010.1,-3,0.0/6h,6,3,0.6,12,,,
1/18/2016 9:00,29.8,24,-----,-----,S,7.2,1010.3,0.2,0.0/3h,6,3,0.6,12,,,
1/18/2016 12:00,29,20.9,32,-----,ESE,7.2,1012.5,2.2,0.0/6h,5,2,0.6,12,,,
1/18/2016 15:00,28,21.7,-----,-----,SE,7.2,1013.3,0.8,0.0/3h,4,2,0.6,12,,,
1/18/2016 18:00,27,21.6,-----,-----,ESE,3.6,1012.4,-0.9,0.0/6h,6,2,0.6,12,,,
1/18/2016 21:00,26.8,22.4,-----,-----,NW,3.6,1012.5,0.1,0.0/3h,7,3,0.6,12,,,
1/19/2016 0:00,26.9,22.6,-----,25.3,SSW,7.2,1013.8,1.3,0.0/24h,4,2,0.6,12,,,
1/19/2016 3:00,28.5,24,-----,-----,W,7.2,1014.6,0.8,0.0/3h,6,3,0.6,12,,,
1/19/2016 6:00,30.5,23.2,-----,-----,W,14.4,1012.1,-2.5,0.0/6h,6,3,0.6,12,,,
1/19/2016 9:00,30.4,23.7,-----,-----,E,3.6,1011.9,-0.2,0.0/3h,5,2,0.6,12,,,
1/19/2016 12:00,28.5,23.1,31.6,-----,E,7.2,1014.2,2.3,0.0/6h,6,3,0.6,12,,,
1/19/2016 15:00,27.9,23.3,-----,-----,E,7.2,1015.4,1.2,0.0/3h,7,3,0.6,10,,,
1/19/2016 18:00,26.7,23.9,-----,-----,NE,3.6,1014.3,-1.1,0.0/6h,6,3,0.6,10,,,
1/19/2016 21:00,26.2,23.8,-----,-----,NW,3.6,1014.3,0,0.0/3h,5,2,0.6,10,,,
1/20/2016 0:00,27,22.9,-----,25,N,3.6,1016.8,2.5,0.0/24h,6,2,0.6,12,,,
1/20/2016 3:00,29.5,22.4,-----,-----,ENE,10.8,1017,0.2,0.0/3h,7,4,0.6,12,,,
1/20/2016 6:00,31.9,20.9,-----,-----,ESE,18,1013.8,-3.2,0.0/6h,4,2,0.6,12,,,
1/20/2016 9:00,30.3,21,-----,-----,E,14.4,1013.3,-0.5,0.0/3h,3,3,0.6,12,,,
1/20/2016 12:00,28.2,20.6,33,-----,ESE,14.4,1015.6,2.3,0.0/6h,7,4,0.6,12,,,
1/20/2016 15:00,27.5,21,-----,-----,ENE,7.2,1016.2,0.6,0.0/3h,6,3,0.6,10,,,
1/20/2016 18:00,26.9,21.4,-----,-----,E,7.2,1014.4,-1.8,0.0/6h,6,3,0.6,10,,,
1/20/2016 21:00,25.9,21.6,-----,-----,NE,3.6,1014.6,0.2,0.0/3h,6,3,0.6,10,,,
1/21/2016 0:00,26,22,-----,25,N,3.6,1016.3,1.7,0.0/24h,4,2,0.6,12,,,
1/21/2016 3:00,29.6,23.1,-----,-----,W,7.2,1016.2,0.1,0.0/3h,5,2,0.6,12,,,
1/21/2016 6:00,31.7,22.8,-----,-----,ESE,18,1012.7,-3.5,0.0/6h,2,2,0.6,12,,,
1/21/2016 9:00,31,21.6,-----,-----,E,10.8,1012.3,-0.4,0.0/3h,2,2,0.6,12,,,
1/21/2016 12:00,28.7,20.2,32.2,-----,ESE,10.8,1013.7,1.4,0.0/6h,1,1,0.6,12,,,
1/21/2016 15:00,27.8,20.8,-----,-----,SE,7.2,1014.5,0.8,0.0/3h,1,1,0.6,10,,,
1/21/2016 18:00,27.1,20.8,-----,-----,ENE,7.2,1013.2,-1.3,0.0/6h,3,1,0.6,10,,,
1/21/2016 21:00,25.6,21.3,-----,-----,N,3.6,1013.4,-0.2,0.0/3h,3,1,0.6,10,,,
1/22/2016 0:00,26,21.1,-----,24,NNW,7.2,1015.4,2,0.0/24h,4,1,0.6,12,,,
1/22/2016 3:00,28.6,22.5,-----,-----,NW,7.2,1015.5,0.1,0.0/3h,6,2,0.6,12,,,
1/22/2016 6:00,29.4,24.9,-----,-----,SW,14.4,1012.4,-3.1,0.0/6h,8,2,0.6,12,,,
1/22/2016 9:00,30.3,23.9,-----,-----,SW,7.2,1011.7,-0.7,0.0/3h,6,2,0.6,12,,,
1/22/2016 12:00,28.8,24,31.3,-----,SE,10.8,1013.6,1.9,0.0/6h,6,1,0.6,12,,,
1/22/2016 15:00,27.4,22.9,-----,-----,SE,10.8,1014.3,0.7,0.0/3h,4,1,0.6,12,,,
1/22/2016 18:00,26.3,22.6,-----,-----,ESE,3.6,1013.9,-0.4,0.0/6h,4,1,0.6,12,,,
1/22/2016 21:00,25.6,22.3,-----,-----,NE,3.6,1014.6,0.7,0.0/3h,5,1,0.6,12,,,
1/23/2016 0:00,26.5,22.4,-----,25,N,3.6,1016.4,1.8,0.0/24h,4,1,0.6,12,,,
1/23/2016 3:00,28.7,21.7,-----,-----,NW,7.2,1017.1,0.7,0.0/3h,6,3,0.6,12,,,
1/23/2016 6:00,30.1,22.2,-----,-----,W,10.8,1013.4,-3.7,0.0/6h,7,3,0.6,12,,,
1/23/2016 9:00,30.8,22.7,-----,-----,SW,7.2,1012.5,-0.9,0.0/3h,6,3,0.6,12,,,
1/23/2016 12:00,29.6,22.4,32.5,-----,NW,3.6,1014.4,1.9,0.0/6h,7,3,0.6,12,,,
1/23/2016 15:00,27.1,22.2,-----,-----,NNE,7.2,1015.6,1.2,0.0/3h,7,3,0.6,12,,,
1/23/2016 18:00,26.8,22.3,-----,-----,NE,3.6,1015,-0.6,0.0/6h,5,2,0.6,12,,,
1/23/2016 21:00,26.4,22.8,-----,-----,NNW,3.6,1014.4,-0.6,0.0/3h,5,2,0.6,12,,,
1/24/2016 0:00,26.1,22.1,-----,24.8,NE,7.2,1016.6,2.2,0.0/24h,7,3,0.6,12,,,
1/24/2016 3:00,28.9,21.6,-----,-----,ENE,10.8,1016.7,0.1,0.0/3h,7,3,0.6,12,,,
1/24/2016 6:00,30.4,21.1,-----,-----,ENE,10.8,1014.3,-2.4,0.0/6h,6,3,0.6,12,,,
1/24/2016 9:00,29.4,20.7,-----,-----,ENE,10.8,1014,0.7,0.0/3h,5,2,0.6,12,,,
1/24/2016 12:00,27.4,20.5,31,-----,NE,7.2,1016.5,2.5,0.0/6h,5,2,0.6,12,,,
1/24/2016 15:00,26.4,19.7,-----,-----,E,14.4,1017.2,0.7,0.0/3h,5,2,0.6,10,,,
1/24/2016 18:00,25.8,19.4,-----,-----,NNW,10.8,1016.9,0.3,0.0/6h,7,2,0.6,10,,,
1/24/2016 21:00,25.2,19.2,-----,-----,NE,10.8,1017.2,-0.3,0.0/3h,7,2,0.6,10,,,
1/25/2016 0:00,25.3,18.6,-----,24.5,NNE,14.4,1019.2,-2,0.0/24h,7,3,0.6,12,,,
1/25/2016 3:00,28.5,20.2,-----,-----,SSW,14.4,1019.3,0.1,0.0/3h,5,2,0.6,12,,,
1/25/2016 6:00,28.7,20.2,-----,-----,NE,14.4,1016.7,-2.6,0.0/6h,6,3,0.6,12,,,
1/25/2016 9:00,27.5,18.9,-----,-----,E,10.8,1016.6,-0.1,0.0/3h,6,2,0.6,12,,,
1/25/2016 12:00,25.5,19,30,-----,N,10.8,1018.7,2.1,0.0/6h,5,2,0.6,12,,,
1/25/2016 15:00,25,19.1,-----,-----,N,10.8,1019.4,0.7,0.0/3h,4,2,0.6,10,,,
1/25/2016 18:00,24.8,19.2,-----,-----,SE,3.6,1018.9,-0.5,0.0/6h,4,2,0.6,10,,,
1/25/2016 21:00,24.7,19.4,-----,-----,ESE,3.6,1019,0.1,0.0/3h,6,3,0.6,10,,,
1/26/2016 0:00,25.3,19.5,-----,23.8,E,3.6,1019.5,0.5,0.0/24h,5,2,0.6,12,,,
1/26/2016 3:00,29.3,20.1,-----,-----,E,21.6,1018.6,0.9,0.0/3h,5,2,0.6,12,,,
1/26/2016 6:00,30.1,18.7,-----,-----,E,21.6,1015.5,-3.1,0.0/6h,5,4,0.6,12,,,
1/26/2016 9:00,27.9,19.2,-----,-----,E,18,1015.7,0.2,0.0/3h,4,4,0.6,12,,,
1/26/2016 12:00,26.2,19.2,31.2,-----,E,7.2,1016.8,1.1,0.0/6h,7,2,0.6,12,,,
1/26/2016 15:00,25.9,18.5,-----,-----,ESE,7.2,1017.5,0.7,0.0/3h,7,2,0.6,12,,,
1/26/2016 18:00,25.3,18.8,-----,-----,NNE,7.2,1017.1,0.4,0.0/6h,7,2,0.6,12,,,
1/26/2016 21:00,24.1,19.7,-----,-----,NNE,10.8,1016.5,-0.6,0.0/3h,7,2,0.6,12,,,
1/27/2016 0:00,24.2,19,-----,23,NNE,10.8,1018.6,2.1,0.0/24h,7,2,0.6,12,,,
1/27/2016 3:00,27.4,20.7,-----,-----,NW,3.6,1018.5,-0.1,0.0/3h,7,3,0.6,12,,,
1/27/2016 6:00,30,19.8,-----,-----,ENE,18,1016.2,-2.3,0.0/6h,7,3,0.6,12,,,
1/27/2016 9:00,29.2,19.2,-----,-----,ESE,7.2,1015.6,-0.6,0.0/3h,7,2,0.6,12,,,
1/27/2016 12:00,27.1,19.9,30.8,-----,ENE,7.2,1016.9,1.3,0.0/6h,5,2,0.6,12,,,
1/27/2016 15:00,26.4,20.8,-----,-----,N,3.6,1017.4,0.5,0.0/3h,5,2,0.6,12,,,
1/27/2016 18:00,25.9,21.2,-----,-----,W,3.6,1016.1,-1.3,0.0/6h,5,2,0.6,12,,,
1/27/2016 21:00,25.3,21.1,-----,-----,NNE,3.6,1015.5,-0.6,0.0/3h,6,2,0.6,12,,,
1/28/2016 0:00,27.3,21,-----,24,NE,3.6,1016.3,0.8,0.0/24h,6,2,0.6,12,,,
1/28/2016 3:00,29.9,21.8,-----,-----,E,18,1016.4,0.1,0.0/3h,5,2,0.6,12,,,
1/28/2016 6:00,30.7,21.1,-----,-----,E,18,1012.9,-3.5,0.0/6h,5,2,0.6,12,,,
1/28/2016 9:00,29.8,21,-----,-----,ENE,18,1012.9,0,0.0/3h,6,2,0.6,12,,,
1/28/2016 12:00,28.4,20.2,32.2,-----,ESE,10.8,1015.1,2.2,0.0/6h,6,3,0.6,12,,,
1/28/2016 15:00,27.4,21.3,-----,-----,E,7.2,1015.6,0.5,0.0/3h,4,1,0.6,10,,,
1/28/2016 18:00,26.9,21.5,-----,-----,ENE,3.6,1013.8,-1.8,0.0/6h,2,2,0.6,10,,,
1/28/2016 21:00,25.4,22.5,-----,-----,NE,3.6,1013.8,0,0.0/3h,3,3,0.6,10,,,
1/29/2016 0:00,25.6,22.7,-----,24.2,NNW,7.2,1016.1,2.4,0.0/24h,6,3,0.6,12,,,
1/29/2016 3:00,27.9,23.6,-----,-----,W,10.8,1015.9,-0.2,0.0/3h,8,4,0.6,12,,,
1/29/2016 6:00,29.5,23.6,-----,-----,WSW,10.8,1013.6,-2.3,0.0/6h,7,4,0.6,12,,,
1/29/2016 9:00,28,24.3,-----,-----,W,10.8,1013.1,-0.5,0.0/3h,8,4,0.6,12,,,
