,Time,WL [El.m],Change [+/-]
0,2016-05-01 00:00,20.52,-
1,2016-05-01 00:10,-,-
2,2016-05-01 00:20,-,-
3,2016-05-01 00:30,-,-
4,2016-05-01 00:40,-,-
5,2016-05-01 00:50,-,-
6,2016-05-01 01:00,20.52,-
7,2016-05-01 01:10,-,-
8,2016-05-01 01:20,-,-
9,2016-05-01 01:30,-,-
10,2016-05-01 01:40,-,-
11,2016-05-01 01:50,-,-
12,2016-05-01 02:00,20.52,-
13,2016-05-01 02:10,-,-
14,2016-05-01 02:20,-,-
15,2016-05-01 02:30,-,-
16,2016-05-01 02:40,-,-
17,2016-05-01 02:50,20.52,-
18,2016-05-01 03:00,-,-
19,2016-05-01 03:10,-,-
20,2016-05-01 03:20,-,-
21,2016-05-01 03:30,-,-
22,2016-05-01 03:40,-,-
23,2016-05-01 03:50,-,-
24,2016-05-01 04:00,20.52,-
25,2016-05-01 04:10,-,-
26,2016-05-01 04:20,-,-
27,2016-05-01 04:30,-,-
28,2016-05-01 04:40,-,-
29,2016-05-01 04:50,-,-
30,2016-05-01 05:00,20.52,-
31,2016-05-01 05:10,-,-
32,2016-05-01 05:20,-,-
33,2016-05-01 05:30,-,-
34,2016-05-01 05:40,-,-
35,2016-05-01 05:50,-,-
36,2016-05-01 06:00,20.52,-
37,2016-05-01 06:10,-,-
38,2016-05-01 06:20,-,-
39,2016-05-01 06:30,-,-
40,2016-05-01 06:40,-,-
41,2016-05-01 06:50,-,-
42,2016-05-01 07:00,20.52,-
43,2016-05-01 07:10,-,-
44,2016-05-01 07:20,-,-
45,2016-05-01 07:30,-,-
46,2016-05-01 07:40,20.52,-
47,2016-05-01 07:50,-,-
48,2016-05-01 08:00,-,-
49,2016-05-01 08:10,-,-
50,2016-05-01 08:20,-,-
51,2016-05-01 08:30,-,-
52,2016-05-01 08:40,-,-
53,2016-05-01 08:50,-,-
54,2016-05-01 09:00,0.00,-
55,2016-05-01 09:10,-,-
56,2016-05-01 09:20,-,-
57,2016-05-01 09:30,-,-
58,2016-05-01 09:40,-,-
59,2016-05-01 09:50,20.52,-
60,2016-05-01 10:00,-,-
61,2016-05-01 10:10,-,-
62,2016-05-01 10:20,-,-
63,2016-05-01 10:30,-,-
64,2016-05-01 10:40,-,-
65,2016-05-01 10:50,-,-
66,2016-05-01 11:00,20.52,-
67,2016-05-01 11:10,-,-
68,2016-05-01 11:20,-,-
69,2016-05-01 11:30,-,-
70,2016-05-01 11:40,-,-
71,2016-05-01 11:50,-,-
72,2016-05-01 12:00,20.52,-
73,2016-05-01 12:10,-,-
74,2016-05-01 12:20,-,-
75,2016-05-01 12:30,-,-
76,2016-05-01 12:40,-,-
77,2016-05-01 12:50,-,-
78,2016-05-01 13:00,20.52,-
79,2016-05-01 13:10,-,-
80,2016-05-01 13:20,-,-
81,2016-05-01 13:30,-,-
82,2016-05-01 13:40,-,-
83,2016-05-01 13:50,-,-
84,2016-05-01 14:00,20.52,-
85,2016-05-01 14:10,-,-
86,2016-05-01 14:20,-,-
87,2016-05-01 14:30,-,-
88,2016-05-01 14:40,-,-
89,2016-05-01 14:50,-,-
90,2016-05-01 15:00,20.52,-
91,2016-05-01 15:10,-,-
92,2016-05-01 15:20,-,-
93,2016-05-01 15:30,-,-
94,2016-05-01 15:40,-,-
95,2016-05-01 15:50,-,-
96,2016-05-01 16:00,20.52,-
97,2016-05-01 16:10,-,-
98,2016-05-01 16:20,-,-
99,2016-05-01 16:30,-,-
100,2016-05-01 16:40,-,-
101,2016-05-01 16:50,-,-
102,2016-05-01 17:00,0.00,-
103,2016-05-01 17:10,-,-
104,2016-05-01 17:20,-,-
105,2016-05-01 17:30,-,-
106,2016-05-01 17:40,-,-
107,2016-05-01 17:50,-,-
108,2016-05-01 18:00,20.52,-
109,2016-05-01 18:10,-,-
110,2016-05-01 18:20,-,-
111,2016-05-01 18:30,-,-
112,2016-05-01 18:40,-,-
113,2016-05-01 18:50,-,-
114,2016-05-01 19:00,20.52,-
115,2016-05-01 19:10,-,-
116,2016-05-01 19:20,-,-
117,2016-05-01 19:30,-,-
118,2016-05-01 19:40,-,-
119,2016-05-01 19:50,-,-
120,2016-05-01 20:00,20.52,-
121,2016-05-01 20:10,-,-
122,2016-05-01 20:20,-,-
123,2016-05-01 20:30,-,-
124,2016-05-01 20:40,-,-
125,2016-05-01 20:50,-,-
126,2016-05-01 21:00,20.52,-
127,2016-05-01 21:10,-,-
128,2016-05-01 21:20,-,-
129,2016-05-01 21:30,-,-
130,2016-05-01 21:40,-,-
131,2016-05-01 21:50,-,-
132,2016-05-01 22:00,20.52,-
133,2016-05-01 22:10,-,-
134,2016-05-01 22:20,-,-
135,2016-05-01 22:30,-,-
136,2016-05-01 22:40,-,-
137,2016-05-01 22:50,-,-
138,2016-05-01 23:00,20.52,-
139,2016-05-01 23:10,-,-
140,2016-05-01 23:20,-,-
141,2016-05-01 23:30,-,-
142,2016-05-01 23:40,-,-
143,2016-05-01 23:50,-,-
144,2016-05-02 00:00,20.52,-
145,2016-05-02 00:10,-,-
146,2016-05-02 00:20,-,-
147,2016-05-02 00:30,-,-
148,2016-05-02 00:40,-,-
149,2016-05-02 00:50,-,-
150,2016-05-02 01:00,20.52,-
151,2016-05-02 01:10,-,-
152,2016-05-02 01:20,-,-
153,2016-05-02 01:30,-,-
154,2016-05-02 01:40,-,-
155,2016-05-02 01:50,-,-
156,2016-05-02 02:00,20.52,-
157,2016-05-02 02:10,-,-
158,2016-05-02 02:20,-,-
159,2016-05-02 02:30,-,-
160,2016-05-02 02:40,-,-
161,2016-05-02 02:50,-,-
162,2016-05-02 03:00,20.52,-
163,2016-05-02 03:10,-,-
164,2016-05-02 03:20,-,-
165,2016-05-02 03:30,-,-
166,2016-05-02 03:40,-,-
167,2016-05-02 03:50,-,-
168,2016-05-02 04:00,20.52,-
169,2016-05-02 04:10,-,-
170,2016-05-02 04:20,-,-
171,2016-05-02 04:30,-,-
172,2016-05-02 04:40,-,-
173,2016-05-02 04:50,-,-
174,2016-05-02 05:00,20.52,-
175,2016-05-02 05:10,-,-
176,2016-05-02 05:20,-,-
177,2016-05-02 05:30,-,-
178,2016-05-02 05:40,-,-
179,2016-05-02 05:50,-,-
180,2016-05-02 06:00,-,-
181,2016-05-02 06:10,-,-
182,2016-05-02 06:20,-,-
183,2016-05-02 06:30,-,-
184,2016-05-02 06:40,-,-
185,2016-05-02 06:50,-,-
186,2016-05-02 07:00,0.00,-
187,2016-05-02 07:10,-,-
188,2016-05-02 07:20,-,-
189,2016-05-02 07:30,-,-
190,2016-05-02 07:40,-,-
191,2016-05-02 07:50,-,-
192,2016-05-02 08:00,20.52,-
193,2016-05-02 08:10,-,-
194,2016-05-02 08:20,-,-
195,2016-05-02 08:30,-,-
196,2016-05-02 08:40,-,-
197,2016-05-02 08:50,20.52,-
198,2016-05-02 09:00,-,-
199,2016-05-02 09:10,-,-
200,2016-05-02 09:20,-,-
201,2016-05-02 09:30,-,-
202,2016-05-02 09:40,-,-
203,2016-05-02 09:50,-,-
204,2016-05-02 10:00,20.52,-
205,2016-05-02 10:10,-,-
206,2016-05-02 10:20,-,-
207,2016-05-02 10:30,-,-
208,2016-05-02 10:40,-,-
209,2016-05-02 10:50,-,-
210,2016-05-02 11:00,20.52,-
211,2016-05-02 11:10,-,-
212,2016-05-02 11:20,-,-
213,2016-05-02 11:30,-,-
214,2016-05-02 11:40,-,-
215,2016-05-02 11:50,-,-
216,2016-05-02 12:00,20.52,-
217,2016-05-02 12:10,-,-
218,2016-05-02 12:20,-,-
219,2016-05-02 12:30,-,-
220,2016-05-02 12:40,-,-
221,2016-05-02 12:50,-,-
222,2016-05-02 13:00,20.52,-
223,2016-05-02 13:10,-,-
224,2016-05-02 13:20,-,-
225,2016-05-02 13:30,-,-
226,2016-05-02 13:40,-,-
227,2016-05-02 13:50,-,-
228,2016-05-02 14:00,20.52,-
229,2016-05-02 14:10,-,-
230,2016-05-02 14:20,-,-
231,2016-05-02 14:30,-,-
232,2016-05-02 14:40,-,-
233,2016-05-02 14:50,-,-
234,2016-05-02 15:00,20.52,-
235,2016-05-02 15:10,-,-
