,Time,WL [El.m],Change [+/-]
0,2017-05-01 00:00,-,-
1,2017-05-01 00:10,-,-
2,2017-05-01 00:20,-,-
3,2017-05-01 00:30,-,-
4,2017-05-01 00:40,-,-
5,2017-05-01 00:50,-,-
6,2017-05-01 01:00,-,-
7,2017-05-01 01:10,-,-
8,2017-05-01 01:20,-,-
9,2017-05-01 01:30,-,-
10,2017-05-01 01:40,-,-
11,2017-05-01 01:50,-,-
12,2017-05-01 02:00,-,-
13,2017-05-01 02:10,-,-
14,2017-05-01 02:20,-,-
15,2017-05-01 02:30,-,-
16,2017-05-01 02:40,-,-
17,2017-05-01 02:50,-,-
18,2017-05-01 03:00,-,-
19,2017-05-01 03:10,-,-
20,2017-05-01 03:20,-,-
21,2017-05-01 03:30,-,-
22,2017-05-01 03:40,-,-
23,2017-05-01 03:50,-,-
24,2017-05-01 04:00,-,-
25,2017-05-01 04:10,-,-
26,2017-05-01 04:20,-,-
27,2017-05-01 04:30,-,-
28,2017-05-01 04:40,-,-
29,2017-05-01 04:50,-,-
30,2017-05-01 05:00,-,-
31,2017-05-01 05:10,-,-
32,2017-05-01 05:20,-,-
33,2017-05-01 05:30,-,-
34,2017-05-01 05:40,-,-
35,2017-05-01 05:50,-,-
36,2017-05-01 06:00,-,-
37,2017-05-01 06:10,-,-
38,2017-05-01 06:20,-,-
39,2017-05-01 06:30,-,-
40,2017-05-01 06:40,-,-
41,2017-05-01 06:50,-,-
42,2017-05-01 07:00,-,-
43,2017-05-01 07:10,-,-
44,2017-05-01 07:20,-,-
45,2017-05-01 07:30,-,-
46,2017-05-01 07:40,-,-
47,2017-05-01 07:50,-,-
48,2017-05-01 08:00,-,-
49,2017-05-01 08:10,-,-
50,2017-05-01 08:20,-,-
51,2017-05-01 08:30,-,-
52,2017-05-01 08:40,-,-
53,2017-05-01 08:50,-,-
54,2017-05-01 09:00,-,-
55,2017-05-01 09:10,-,-
56,2017-05-01 09:20,-,-
57,2017-05-01 09:30,-,-
58,2017-05-01 09:40,-,-
59,2017-05-01 09:50,-,-
60,2017-05-01 10:00,-,-
61,2017-05-01 10:10,-,-
62,2017-05-01 10:20,-,-
63,2017-05-01 10:30,-,-
64,2017-05-01 10:40,-,-
65,2017-05-01 10:50,-,-
66,2017-05-01 11:00,-,-
67,2017-05-01 11:10,-,-
68,2017-05-01 11:20,-,-
69,2017-05-01 11:30,-,-
70,2017-05-01 11:40,-,-
71,2017-05-01 11:50,-,-
72,2017-05-01 12:00,-,-
73,2017-05-01 12:10,-,-
74,2017-05-01 12:20,-,-
75,2017-05-01 12:30,-,-
76,2017-05-01 12:40,-,-
77,2017-05-01 12:50,-,-
78,2017-05-01 13:00,-,-
79,2017-05-01 13:10,-,-
80,2017-05-01 13:20,-,-
81,2017-05-01 13:30,-,-
82,2017-05-01 13:40,-,-
83,2017-05-01 13:50,-,-
84,2017-05-01 14:00,-,-
85,2017-05-01 14:10,-,-
86,2017-05-01 14:20,-,-
87,2017-05-01 14:30,-,-
88,2017-05-01 14:40,-,-
89,2017-05-01 14:50,-,-
90,2017-05-01 15:00,-,-
91,2017-05-01 15:10,-,-
92,2017-05-01 15:20,-,-
93,2017-05-01 15:30,-,-
94,2017-05-01 15:40,-,-
95,2017-05-01 15:50,-,-
96,2017-05-01 16:00,-,-
97,2017-05-01 16:10,-,-
98,2017-05-01 16:20,-,-
99,2017-05-01 16:30,-,-
100,2017-05-01 16:40,-,-
101,2017-05-01 16:50,-,-
102,2017-05-01 17:00,-,-
103,2017-05-01 17:10,-,-
104,2017-05-01 17:20,-,-
105,2017-05-01 17:30,-,-
106,2017-05-01 17:40,-,-
107,2017-05-01 17:50,-,-
108,2017-05-01 18:00,-,-
109,2017-05-01 18:10,-,-
110,2017-05-01 18:20,-,-
111,2017-05-01 18:30,-,-
112,2017-05-01 18:40,-,-
113,2017-05-01 18:50,-,-
114,2017-05-01 19:00,-,-
115,2017-05-01 19:10,-,-
116,2017-05-01 19:20,-,-
117,2017-05-01 19:30,-,-
118,2017-05-01 19:40,-,-
119,2017-05-01 19:50,-,-
120,2017-05-01 20:00,-,-
121,2017-05-01 20:10,-,-
122,2017-05-01 20:20,-,-
123,2017-05-01 20:30,-,-
124,2017-05-01 20:40,-,-
125,2017-05-01 20:50,-,-
126,2017-05-01 21:00,-,-
127,2017-05-01 21:10,-,-
128,2017-05-01 21:20,-,-
129,2017-05-01 21:30,-,-
130,2017-05-01 21:40,-,-
131,2017-05-01 21:50,-,-
132,2017-05-01 22:00,-,-
133,2017-05-01 22:10,-,-
134,2017-05-01 22:20,-,-
135,2017-05-01 22:30,-,-
136,2017-05-01 22:40,-,-
137,2017-05-01 22:50,-,-
138,2017-05-01 23:00,-,-
139,2017-05-01 23:10,-,-
140,2017-05-01 23:20,-,-
141,2017-05-01 23:30,-,-
142,2017-05-01 23:40,-,-
143,2017-05-01 23:50,-,-
144,2017-05-02 00:00,-,-
145,2017-05-02 00:10,-,-
146,2017-05-02 00:20,-,-
147,2017-05-02 00:30,-,-
148,2017-05-02 00:40,-,-
149,2017-05-02 00:50,-,-
150,2017-05-02 01:00,-,-
151,2017-05-02 01:10,-,-
152,2017-05-02 01:20,-,-
153,2017-05-02 01:30,-,-
154,2017-05-02 01:40,-,-
155,2017-05-02 01:50,-,-
156,2017-05-02 02:00,-,-
157,2017-05-02 02:10,-,-
158,2017-05-02 02:20,-,-
159,2017-05-02 02:30,-,-
160,2017-05-02 02:40,-,-
161,2017-05-02 02:50,-,-
162,2017-05-02 03:00,-,-
163,2017-05-02 03:10,-,-
164,2017-05-02 03:20,-,-
165,2017-05-02 03:30,-,-
166,2017-05-02 03:40,-,-
167,2017-05-02 03:50,-,-
168,2017-05-02 04:00,-,-
169,2017-05-02 04:10,-,-
170,2017-05-02 04:20,-,-
171,2017-05-02 04:30,-,-
172,2017-05-02 04:40,-,-
173,2017-05-02 04:50,-,-
174,2017-05-02 05:00,-,-
175,2017-05-02 05:10,-,-
176,2017-05-02 05:20,-,-
177,2017-05-02 05:30,-,-
178,2017-05-02 05:40,-,-
179,2017-05-02 05:50,-,-
180,2017-05-02 06:00,-,-
181,2017-05-02 06:10,-,-
182,2017-05-02 06:20,-,-
183,2017-05-02 06:30,-,-
184,2017-05-02 06:40,-,-
185,2017-05-02 06:50,-,-
186,2017-05-02 07:00,-,-
187,2017-05-02 07:10,-,-
188,2017-05-02 07:20,-,-
189,2017-05-02 07:30,-,-
190,2017-05-02 07:40,-,-
191,2017-05-02 07:50,0.00,-
192,2017-05-02 08:00,20.94,-
193,2017-05-02 08:10,20.94,-
194,2017-05-02 08:20,-,-
195,2017-05-02 08:30,20.93,-
196,2017-05-02 08:40,0.00,-
197,2017-05-02 08:50,20.93,-
198,2017-05-02 09:00,-,-
199,2017-05-02 09:10,20.93,-
200,2017-05-02 09:20,20.93,-
201,2017-05-02 09:30,20.93,-
202,2017-05-02 09:40,-,-
203,2017-05-02 09:50,20.93,-
204,2017-05-02 10:00,20.93,-
205,2017-05-02 10:10,20.93,-
206,2017-05-02 10:20,20.93,-
207,2017-05-02 10:30,-,-
208,2017-05-02 10:40,20.93,-
209,2017-05-02 10:50,20.93,-
210,2017-05-02 11:00,20.93,-
211,2017-05-02 11:10,20.93,-
212,2017-05-02 11:20,-,-
213,2017-05-02 11:30,20.93,-
214,2017-05-02 11:40,20.93,-
215,2017-05-02 11:50,20.93,-
216,2017-05-02 12:00,20.93,-
217,2017-05-02 12:10,-,-
218,2017-05-02 12:20,20.93,-
219,2017-05-02 12:30,20.93,-
220,2017-05-02 12:40,20.93,-
221,2017-05-02 12:50,20.93,-
222,2017-05-02 13:00,-,-
223,2017-05-02 13:10,20.93,-
224,2017-05-02 13:20,20.93,-
225,2017-05-02 13:30,20.93,-
226,2017-05-02 13:40,20.93,-
227,2017-05-02 13:50,-,-
228,2017-05-02 14:00,20.93,-
229,2017-05-02 14:10,20.93,-
230,2017-05-02 14:20,20.93,-
231,2017-05-02 14:30,20.93,-
232,2017-05-02 14:40,-,-
233,2017-05-02 14:50,20.93,-
234,2017-05-02 15:00,20.93,-
235,2017-05-02 15:10,20.93,-
236,2017-05-02 15:20,20.93,-
237,2017-05-02 15:30,-,-
238,2017-05-02 15:40,0.00,-
239,2017-05-02 15:50,0.00,-
240,2017-05-02 16:00,0.00,-
241,2017-05-02 16:10,0.00,-
242,2017-05-02 16:20,-,-
243,2017-05-02 16:30,0.00,-
244,2017-05-02 16:40,0.00,-
245,2017-05-02 16:50,0.00,-
246,2017-05-02 17:00,0.00,-
247,2017-05-02 17:10,-,-
248,2017-05-02 17:20,0.00,-
249,2017-05-02 17:30,0.00,-
250,2017-05-02 17:40,0.00,-
251,2017-05-02 17:50,0.00,-
252,2017-05-02 18:00,-,-
253,2017-05-02 18:10,0.00,-
254,2017-05-02 18:20,0.00,-
255,2017-05-02 18:30,0.00,-
256,2017-05-02 18:40,0.00,-
257,2017-05-02 18:50,-,-
258,2017-05-02 19:00,0.00,-
259,2017-05-02 19:10,0.00,-
260,2017-05-02 19:20,0.00,-
261,2017-05-02 19:30,0.00,-
262,2017-05-02 19:40,-,-
263,2017-05-02 19:50,0.00,-
264,2017-05-02 20:00,0.00,-
265,2017-05-02 20:10,0.00,-
266,2017-05-02 20:20,0.00,-
267,2017-05-02 20:30,-,-
268,2017-05-02 20:40,0.00,-
269,2017-05-02 20:50,0.00,-
270,2017-05-02 21:00,0.00,-
271,2017-05-02 21:10,0.00,-
272,2017-05-02 21:20,-,-
